index,sentence
50,"""""""Ich denke das Risiko können wir in Kauf nehmen"""", urteilte Ulrike."""
51,"""""""Ich finde, das sieht bescheuert aus"""", äußerte sich jetzt Steven, der bisher noch gar nichts gesagt hatte."""
52,"""""""Ich habe dem Tod schon mehrfach ins Auge gesehen"""", leitete Holger zu seinen Heldenstorys über."""
53,"""""""Ich habe ihn umgebracht"""", gestand er mit gesenktem Blick."""
54,"""""""Ich kann das Geschwafel dieses sogenannten Wirtschaftsexperten nicht mehr hören"""", beschwerte sich Monika."""
55,"""""""Ich kann mich nicht einloggen"""", wendet sich Kai an den Administrator."""
56,"""""""Ich kann mich noch immer nicht zwischen Volvo und VW entscheiden"""", seufzt Gernot."""
57,"""""""Ich kenne Klaas aber nur flüchtig"""", schränkte Tobias sogleich ein."""
58,"""""""Ich muss mal wieder zum Frisör"""", bekundete Lars selbstkritisch nach einem Blick in den Spiegel."""
59,"""""""Ich muss morgen früh aufstehen"""", entschuldigte sich Alwin."""
60,"""""""Ich weiß gar nicht, wie man die Nebelschlussleuchte einschaltet"""", gab Hanna zu."""
61,"""""""Ich weiß, wo ein Schatz versteckt ist"""", flüsterte mir mein Mithäftling ins Ohr."""
62,"""""""Ich werde keines Ihrer Drecksbücher kaufen"""", stellte ich klar."""
63,"""""""Ich will kein Model, sondern ein normales Mädel als Freundin"""", sagt Tim."""
64,"""""""Ich wollte testen, ob du am Stoppschild auch wirklich anhältst"""", erklärte der Fahrlehrer."""
65,"""""""Ich, ich kann Ihnen helfen"""", bot er kleinlaut an."""
66,"""""""Ihr seid alle eingeladen"""", verkündete Ralf mit einem Lächeln."""
67,"""""""In meinen Augen ist Gustav vom Scheitel bis zur Sohle ein frommer Christ"""", urteilte Pastor Sigmund."""
68,"""""""In welchem Ressort würden Sie bevorzugt arbeiten?"""", fragte der Personalchef den Junior-Redakteur."""
69,"""""""Ist der Kaffee überhaupt noch warm?"""", erkundigt sich Daniel."""
70,"""""""Jetzt müssen wir mal unsere grauen Zellen anstrengen"""", sagte Anton und kratzte sich am Kopf."""
71,"""""""Jetzt nicht mehr"""", erwiderte er und griff zum Telefonhörer."""
72,"""""""Kann mich jemand hören?"""", sprach er in sein Funkgerät."""
73,"""""""Konstruktive Kritik sieht anders aus"""", kritisierte Walter wenig konstruktiv."""
74,"""""""Kreative Köpfe wie dich brauchen wir"""", ermutigte Anja ihn."""
75,"""""""Lass mal den Profi ran"""", kommandierte Lennart in einem ironischen Tonfall."""
76,"""""""Lassen Sie den Jungen in Ruhe"""", knurrte ich den Fremden an."""
77,"""""""Mann, geht mir das alles auf den Zeiger"""", brummte Fritz genervt."""
78,"""""""Mein Enkel ist ein tüchtiger Bursche"""", erzählte der Großvater stolz."""
79,"""""""Meine Lieblingsfarbe ist schwarz"""", sagte Lola."""
80,"""""""Mit eurer Gleichgültigkeit habt ihr uns das alles erst eingebrockt"""", schimpfte Timo."""
81,"""""""Mit solchen Maschinen kenne ich mich zufällig aus, ich habe nämlich auch schon einmal"""", fuhr er fort."""
82,"""""""Na also"""", nickte ich zufrieden."""
83,"""""""Na gut"""", gab sich mein Gesprächspartner geschlagen."""
84,"""""""Na gut, wir kämpfen mit den Fäusten"""", stimmte der Ritter zu und steckte das Schwert wieder in die Scheide."""
85,"""""""Nach zwei Wochen ist es vorbei"""", versprach Christoph."""
86,"""""""Nichts von dem, was du tust, hat Hand und Fuß"""", monierte Regina."""
87,"""""""Ob katholisch oder evangelisch ist mir nicht wichtig"""", erläuterte Valentina."""
88,"""""""Ob sie das schaffen werden?"""", stellt Waldemar das Vorhaben infrage."""
89,"""""""Papperlapapp!"""", widersprach Elke."""
90,"""""""Ralf ist ein alter Knacker"""", sprach Clemens wenig respektvoll."""
91,"""""""Runter von meinem Baum"""", krächzte der Rabe."""
92,"""""""Schauen Sie, was in diesem Karton ist"""", ergriff der Buchhändler nun wieder das Wort."""
93,"""""""Selbst schuld"""", dachte er und konnte seine Schadenfreude kaum verbergen."""
94,"""""""Seriöse Aussagen können wir zu diesem Zeitpunkt noch nicht treffen"""", konstatierte Tom."""
95,"""""""Sie werden doch nicht etwa"""", setzte ich zum Protest an, doch es war bereits zu spät."""
96,"""""""Stellst du die Musik bitte auf Zimmerlautstärke, Albert?"""", rief seine Mutter."""
97,"""""""Sylt ist mir einfach zu teuer"""", argumentierte Paula."""
98,"""""""Und damit sind wir auch schon am Ende der Sendung"""", leitete der Moderator zum nächsten Thema über."""
99,"""""""Und wer muss es am Ende wieder reparieren?"""", fragt Robert, obwohl er die Antwort natürlich schon weiß."""
100,"""""""Vielleicht kann Hannelore euch beraten"""", schlug Marius vor."""
101,"""""""Vier-K-Displays sind genauer als meine Augen"""", stellt Christian fest."""
102,"""""""Wartet auf uns!"""", brüllte Christoph aus voller Kehle."""
103,"""""""Was für ein Angeber"""", dachte Horst im Stillen."""
104,"""""""Was haben Sie denn damit vor?"""", wollte er wissen."""
105,"""""""Was soll ich in der Großstadt mit einem PKW?"""", stellte Gregor eine rhetorische Frage."""
106,"""""""Wenn meine Großeltern sich miteinander unterhalten, schnacken sie platt"""", berichtet Gerhard."""
107,"""""""Wenn sich Netflix nur mit proprietärer Software nutzen lässt, dann eben ohne mich"""", sagt Hannes trotzig."""
108,"""""""Wer ist da?"""", fragte sie mit zittriger Stimme."""
109,"""""""Wie bitte?"""", fragte der Bereitschaftspolizist und klappte sein Visier hoch."""
110,"""""""Wir beschreiben die Verformung gegenüber der kanonischen Repräsentation mit einem Tensorfeld"""", erklärte Ulla."""
111,"""""""Wir müssen intubieren"""", meinte der Notfallsanitäter zu seiner Kollegin."""
112,"""""""Wollen wir nicht ein Stück Sacher Torte essen, wenn wir schon einmal in Wien sind?"""", schlug Toni vor."""
113,"""Auf Kika läuft gerade """"Jim Knopf und Lukas der Lokomotivführer""""."""
114,"""Das Prinzip heißt """"teile und herrsche""""."""
115,"""Das war wahrscheinlich eine Freud'sche Fehlleistung."""
116,"""Der geht ab wie Schmitz' Katze."""
117,"""Die Arena ist heut' ausverkauft, man will sehen, wer sich rauft."""
118,"""Die Kräuterbutter ist selbst gemacht, stimmt's?"""
119,"""Die Propeller heulen immer so schön auf, wenn man einen Staubsauger an sie 'ran hält."""
120,"""Etwa hundert User hatten """"Erster"""" als Kommentar zu dem Video gepostet."""
121,"""Grüner wird's nicht."""
122,"""Heute gibt es """"Asterix und Kleopatra"""" im Fernsehen."""
123,"""Ich hab' keine Munition mehr!"""
124,"""Jetzt reicht's aber!"""
125,"""Los geht's!"""
126,"""Mach's besser."""
127,"""Mach's gut."""
128,"""Morgenstund' hat Gold im Mund."""
129,"""Probier's mal mit Gemütlichkeit!"""
130,"""Regeln wie """"Frauen und Kinder zuerst"""" sind auch nicht mehr zeitgemäß."""
131,"""Seine SMS an Katrin beendet Sören immer mit einem vielsagenden """"hdgdl""""."""
132,"""Stell dir vor es geht, aber keiner kriegt's hin."""
133,"""Stramm stand die Horde in Reih' und Glied aufgestellt vor dem Befehlshaber."""
134,"""Tatsächlich ist """"der Krake"""" korrekt, auch wenn das Substantiv umgangssprachlich feminin verwendet wird."""
135,"""Toll, ein anderer macht's!"""
136,"""Und dann haben wir, ich sag' mal, ein paar Nettigkeiten ausgetauscht."""
137,"""Und das war's auch schon."""
138,"""Und die Moral von der Geschicht': Verrate deine Pläne nicht."""
139,"""Und wir nehmen's ganz genau: Auch nicht seine Nebenfrau."""
140,"""Vielen Dank für Speis' und Trank."""
141,"""Weil der Begriff """"Rückzug"""" verboten war, wurde stets nur von Frontbegradigung gesprochen."""
142,"""Wie war's in Amsterdam?"""
143,"""Wie wär's mit einer Tasse Kräutertee?"""
144,"""Wo gibt's denn sowas?"""
145,"A-zwei, zwischen Braunschweig-Watenbüttel und Braunschweig-Hafen behindern Bergungsarbeiten den Verkehr."
146,Aaron wollte den anderen nicht die gute Laune verderben.
147,Ab einem bestimmten Wert müssen eingeführte Waren verzollt werden.
148,Ab hier übernehmen wir die Kontrolle.
149,Ab ins Trainingslager!
150,Ab sechzig Jahren sollte ein regelmäßiger Fahreignungstest verpflichtend sein.
151,Ab und zu knackt das Holz.
152,Ab wann muss man zum Idiotentest?
153,Ab zwanzig Uhr dürfen die öffentlich-rechtlichen Sender keine Werbung mehr zeigen.
154,Aber Lothar hatte den Finger schon am Abzug.
155,Aber als Übergangslösung reicht es erst mal.
156,Aber auch Seile und Textilien werden aus Hanf gefertigt.
157,Aber auch hierfür hat der Tüftler eine geniale Idee.
158,Aber bitte nur mit Betäubung.
159,Aber das könnte natürlich auch Zufall sein.
160,Aber die ist natürlich auch nicht ohne Nebenwirkungen.
161,Aber die sind nun mal hässlich wie die Nacht.
162,Aber echte Camper sitzen auf dem Boden oder auf Baumstämmen.
163,Aber enttäuschen Sie mich nicht.
164,Aber er hat angefangen.
165,Aber es gibt auch noch einen vierten: Den Plasmazustand.
166,"Aber gelegentlich ist es aufschlussreich, eine falsche These in den Raum zu stellen und zu schauen, wie viele sie glauben."
167,Aber genau darum geht es doch.
168,Aber hallo!
169,Aber ich hätte gerne eine Flasche ohne Kohlensäure.
170,Aber jetzt geht ihm ein Licht auf.
171,Aber jetzt kommt der finale Test.
172,Aber lassen Sie die Hütchen stehen!
173,"Aber man könnte wohl noch erkennen, um welche Sprache es sich handelt."
174,Aber mit der Zeit legt sich das.
175,Aber möchtest du wirklich für immer und ewig jung bleiben?
176,Aber natürlich.
177,Aber nicht mogeln
178,Aber nicht mogeln!
179,Aber ohne meinen Raketenrucksack fühle ich mich wie ein Sterblicher.
180,"Aber psst, das ist geheim."
181,Aber sie braucht ja auch gleichaltrige Spielkameraden.
182,"Aber sonst habt ihr keine Vorurteile, oder?"
183,Aber was bewirkt der Boykott wirklich?
184,Aber was heißt das im Klartext?
185,Aber wir wollen die Pferde ja auch nicht unnötig scheu machen.
186,Aber woher kommt der Wellenberg auf der mondabgewandten Seite?
187,Aber wozu eigentlich?
188,Aber zum Anziehen benötigt er Hilfe von einer Pflegekraft.
189,"Abflussrohre sollte man verschließen, damit der Geruch der Kanalisation nicht in die Wohnung steigt."
190,Abgerundete Ecken sind keine Innovation.
191,Abidjan ist der Regierungssitz der Elfenbeinküste.
192,Abu Dhabi ist die Hauptstadt der Vereinigten Arabischen Emirate.
193,Abuja ist die Hauptstadt von Nigeria.
194,"Abwarten und Tee trinken, meint Edith."
195,Accra ist die Hauptstadt von Ghana.
196,"Ach Mist, der Reifen ist platt."
197,Ach daher weht der Wind.
198,Ach du Schreck!
199,Ach hier sind wir.
200,"Ach was, Charakter wird überbewertet, widerspricht Ulf machohaft."
201,"Ach, das ist ja sympathisch."
202,"Ach, das macht doch nichts."
203,"Ach, das sind alles Ausreden!, widersprach Veronika energisch."
204,"Ach, das sind alles Ausreden, widersprach Veronika energisch."
205,"Ach, den kann ich ruhig opfern."
206,"Ach, ist das öde."
207,Achim achtet neuerdings auf seine Ernährung.
208,Achte auf die Körpersprache.
209,Achten Sie auf den Höhenunterschied zwischen Zug und Bahnsteigkante.
210,"Achten Sie beim Kauf unbedingt darauf, dass die Jacke atmungsaktiv ist!"
211,"Achtung Boss, die Bullen sind im Anmarsch."
212,"Achtung, Abzocke!"
213,"Achtung, der Poller hebt und senkt sich automatisch."
214,Adam nimmt ein Heft aus seinem Schulranzen und macht ein paar Notizen.
215,Addis Abeba ist die Hauptstadt von Äthiopien.
216,Aden ist de facto die Hauptstadt von Jemen.
217,"Ah!, stöhnte er und schlug auf das lärmende Gerät neben seinem Bett."
218,"Aha, so ist das also."
219,"Ahoi, ihr Landratten"
220,"Ahoi, ihr Landratten!"
221,Ahornblätter sind leicht zu erkennen.
222,Akku-Ladestand anzeigen.
223,"Akupunktur funktioniert nicht, wenn man nicht dran glaubt."
224,Alarmanlage ausschalten.
225,Alarmanlage einschalten.
226,Alaska ist die größte Exklave der Erde.
227,"Albatrosse sind gut im Fliegen, aber schlecht im Starten und Landen."
228,Albert ist ein genialer Erfinder.
229,Aleppo ist die zweitgrößte Stadt in Syrien.
230,Alex hat sich eine fiese Erkältung eingefangen.
231,Alexander ist ein armer Schlucker.
232,Alexandra hört das Lied seit zwei Stunden in Dauerschleife.
233,Alfred und Erna haben sich köstlich amüsiert.
234,Algier ist die Hauptstadt von Algerien.
235,Alida probiert zum allerersten Mal Fedora aus.
236,Alina ist immer so perfektionistisch.
237,Alkohol hemmt die Fettverbrennung.
238,Alkohol ist keine Lösung sondern ein Destillat.
239,All die Demokratiebestrebungen sind nur vorgeschobene Gründe.
240,All die Elterntaxis verstopfen mal wieder die Schulstraße.
241,All die angestaute Wut kanalisiert sich jetzt und führt zu diesen Ausbrüchen.
242,"All die gesetzlichen Regelungen nützen nichts, wenn sie nicht kontrolliert werden."
243,Alle Einheiten werden im Hauptquartier zentral koordiniert.
244,"Alle Händler weigern sich, meinen Gebrauchten in Zahlung zu nehmen."
245,Alle Häuser wurden in Schutt und Asche gelegt.
246,Alle Kanonen sind feuerbereit.
247,"Alle Lose, die wir gekauft hatten, waren Nieten."
248,"Alle Matrosen sind an Deck, Herr Kapitän."
249,Alle Verbrenner dieser Modellreihe sind zwangsbeatmet.
250,Alle anderen verlassen sich darauf.
251,Alle der Reihe nach.
252,Alle dreizehn Kerzen auf der Geburtstagstorte muss sie mit einem Atemzug ausblasen.
253,Alle haben nur zugeschaut.
254,Alle ihm nach!
255,Alle im Roman vorkommenden Charaktere sind einfach gestrickt.
256,Alle natürlich.
257,"Alle nehmen die Rolltreppe, obwohl die normale Treppe daneben frei ist."
258,"Alle reden davon, dass sie die Mitte entlasten wollen, aber jeder meint etwas anderes."
259,"Alle rufen laut: Chapeau, es ist ein technischer K.o."
260,"Alle rufen laut: Chapeau, es ist ein technischer K.o.!"
261,Alle standen auf und legten im Chor den vereinbarten Schwur ab.
262,Alle wertvollen Sachen habe ich im Schließfach.
263,"Alleinsein ist ein objektiver Zustand, Einsamkeit ein subjektives Empfinden."
264,Alleinstehende müssen gleichzeitig arbeiten und den Haushalt schmeißen.
265,Allen Besuchern vor halb elf wird ein Preisnachlass gewährt.
266,Allerdings gibt es die Karl-May-Festspiele in der Kalkbergarena.
267,Allerdings interessiert sie mich nicht.
268,"Allerdings, erklärte er mit bedeutungsvoller Miene."
269,Allerdings.
270,Allergiker freuen sich über den eingebauten Pollenfilter.
271,Alles anzeigen.
272,Alles entfernen.
273,"Alles hat ein Ende, nur die Wurst hat zwei."
274,Alles ist erlaubt.
275,Alles ist inklusive.
276,Alles löschen.
277,Alles merken.
278,Alles speichern.
279,"Alles, was Sie zu wissen glauben, ist bedeutungslos."
280,"Alles, was er diktierte, musste die Sekretärin später in den Computer eingeben."
281,"Alles, was es nicht schon seit Jahrhunderten gibt, wird höchstens als Sekte anerkannt."
282,Allianz ist ein gutes Stichwort.
283,Als Abteilungsleiter sollte man immer ein offenes Ohr für seine Mitarbeiter haben.
284,"Als Bert nicht mehr weiter wusste, wandte er sich an den Verbraucherschutz."
285,Als Erstes bestimmen wir Blutgruppe und Rhesusfaktor.
286,Als Folge verengen sich die Blutgefäße.
287,Als Glücksbringer hatte Ken sich ein Hufeisen in seinem Wagen vor den Beifahrersitz geklebt.
288,"Als Heike das erste Mal in die Sauna ging, war sie völlig schockiert, dass dort alle nackig waren."
289,"Als Jürgen noch in Heilbronn arbeitete, nutzte er täglich den Radweg am Neckar."
290,Als Kassenpatient muss man längere Wartezeiten erdulden.
291,Als Kind hatte ich alle Folgen vom Sams auf Kassette.
292,Als Kind wollte ich immer erwachsen sein.
293,"Als Populist muss man eine einfache Sprache sprechen, die jeder versteht."
294,"Als Rainer den Posten übernahm, musste er erst einmal für Zucht und Ordnung sorgen."
295,Als Standardbeispiel für einen Torus wird immer der Donut aufgeführt.
296,Als Therapie gegen das Stottern hat die Ärztin Manuel empfohlen zu singen.
297,Als Werkstoff ist Gold relativ wertlos.
298,Als Zwischenstopp auf der Route einfügen.
299,Als Zwischenstopp einfügen.
300,Als besondere Attraktion hat der Bauer einen Teil seines Maisfeldes als Labyrinth angelegt.
301,"Als der Briefträger das Kläffen hörte, zuckte er erschrocken zusammen."
302,"Als der Funkspruch einging, brach im Kontrollzentrum Hektik aus."
303,"Als der Kanzler vor die Truppe trat, salutierten die Soldaten."
304,"Als die Betrüger den Enkeltrick bei meiner Oma versucht haben, hat sie genau richtig gehandelt."
305,"Als die Stadtmauern errichtet wurden, hieß es, dass sie unbezwingbar seien."
306,"Als er auf die Uhr sah, stellte Jan fest, dass er eine halbe Stunde mit dem Lesen der Kommentare verplempert hatte."
307,"Als er elf war, ist Leon in einen rostigen Nagel getreten, der sich dabei durch den Fuß gebohrt hat."
308,"Als es im späten September noch einmal richtig warm wurde, schmolzen die Weihnachtsmänner aus Schokolade in den Regalen."
309,"Als es mir schlecht ging, war Stefan immer für mich da."
310,Als gemeinnützige Stiftung geht es ihnen nicht um Profit.
311,Als nächstes Mehl und Milch hinzugeben und gut umrühren.
312,Als stellvertretende Sprecherin des Konzerns ist Susanne eine beliebte Gesprächspartnerin der Presse.
313,"Also Herr Schneider, ich setze Ihnen jetzt eine Frist."
314,Also besonders langlebig sind diese Gewinde aber nicht.
315,Also das ist ja wirklich der Gipfel
316,Also das ist ja wirklich der Gipfel!
317,Also erwarte keine Wunder.
318,Also hat sich die heute Einundvierzig-Jährige umschulen lassen.
319,Also ich höre nichts.
320,Also machten sich die Ermittler auf zum Leichenschauhaus.
321,"Also mit Reiter, Martinsgans, Laternen und den entsprechenden Liedern."
322,Also sollte man beides kombinieren und die Voodoo-Puppe einer Akupunktur unterziehen.
323,"Also, wie sieht der Masterplan aus?"
324,"Alte Dieselmotoren musste man mit einem Gasbrenner oder Ähnlichem vorglühen, wenn sie nicht ansprangen."
325,Alte Liebe rostet nicht.
326,"Alter, lass mich in Ruhe!"
327,"Alternativ könnten wir auch den N-Quadrat-dimensionalen Fall betrachten, aber so viel Abstraktionsvermögen traue ich Ihnen nicht zu."
328,"Aludeckel von Plastikverpackungen sollte man abziehen, bevor man sie in den gelben Sack schmeißt."
329,"Alwin, Nadja und Andrea spielen Verstecken."
330,Am Ausgang ertönte plötzlich die Alarmanlage und Arno blieb verdutzt stehen.
331,Am Autobahnzubringer müsst ihr ihn abpassen.
332,Am Dienstag werden wir dann das Thema ägyptische Geschichte beginnen.
333,Am Ecktisch fehlt eine Gabel.
334,Am Ende der Radtour beklagten sich alle über Muskelkater in den Oberschenkeln.
335,Am Ende des Gleises befindet sich ein Prellbock.
336,Am Ende ihrer Arbeit hatten die Maurer noch ein paar Ziegelsteine über.
337,Am Ende kommt es doch anders.
338,Am Ende muss die Stadt für die exorbitanten Kosten aufkommen.
339,Am Ende scheitert es am Geld.
340,"Am Ende werdet ihr Muskeln spüren, von denen ihr vorher gar nicht wusstet, dass ihr sie habt."
341,Am Ende wird Mario für seine Tapferkeit ausgezeichnet.
342,Am Ende wird es wieder in eine Fressorgie ausarten.
343,Am Flughafen muss man nach dem Check-In durch die Sicherheitskontrolle.
344,Am Freitag will die Geschäftsführung Bilanz ziehen.
345,Am Freitag wird im Stadtwald Räuber Hotzenplotz aufgeführt.
346,Am Horizont steigt Rauch auf.
347,Am Mittwochabend lädt der Fachschaftsrat zu einer Runde Skat.
348,Am Montag beginnt die neue Staffel.
349,Am Nachmittag nimmt Alfred immer das übrig gebliebene Essen aus der Kantine und fährt es zur Tafel.
350,Am Taxistand herrschte das übliche Chaos.
351,Am Telegrafenmast kann man sich gut orientieren.
352,Am Ufer haben die zwei eine Flaschenpost gefunden.
353,Am Wochenende hat es wieder Randale gegeben.
354,Am besten nehmen wir den Zug.
355,"Am deutlichsten merkt man den Dopplereffekt, wenn ein Einsatzwagen mit Sirene an einem vorbeifährt."
356,"Am einfachsten löst man das Problem, indem man es in mehrere kleine Teilprobleme spaltet."
357,Am einundzwanzigsten November erscheint die Biografie über den einstigen Rockstar.
358,"Am elften November wird es einen traditionellen Sankt-Martins-Umzug im Dorf geben, mit allem was dazu gehört."
359,Am ersten Tag werde ich Sie immer wieder darauf hinweisen.
360,Am fünfzehnten Mai findet ein Seifenkistenrennen statt.
361,Am gleichen Tag ist auch Halloween.
362,Am liebsten würde Larissa gleich alle auswählen.
363,Am liebsten würde sie im Boden versinken.
364,Am meisten freut Camilla sich auf die Bescherung.
365,Am meisten fürchtet sich Isabel vor Änderungen.
366,Am sechsten Dezember kommt der Nikolaus.
367,Am sechsten Januar werden die Tannenbäume eingesammelt.
368,Amanda ist verwitwet.
369,Amman ist die Hauptstadt von Jordanien.
370,Amsterdam ist die Hauptstadt der Niederlande.
371,An Dramaturgie ist das Theaterstück kaum zu überbieten.
372,An Fasching hat sich Kevin als Schneemann verkleidet.
373,An Pfingsten besuchen wir Onkel Heinz.
374,An Sonn- und Feiertagen haben die Läden geschlossen.
375,An den meisten Stellen war der Fluss zu tief.
376,An der Küste weht immer eine steife Brise.
377,An der Litfaßsäule hängt noch immer die selbe Reklame wie vor einem Jahr.
378,An der Litfaßsäule hängt noch immer dieselbe Reklame wie vor einem Jahr.
379,An der Oase machten sie Halt und ließen die Kamele ihre Höcker füllen.
380,An der Pastatheke wird Nachschub benötigt.
381,An der Primärspule liegen permanent zwölf Volt an.
382,An der Rennbahn gibt es eine eigene Haltestelle.
383,An der Straße wartest du bitte auf uns.
384,An der Tanke müssen wir noch eine Tagesvignette kaufen.
385,An der Wand hängen Porträts aller ehemaligen Bonzen des Hauses.
386,An der dritten Hand ist eine Lupe mit einer kleinen Leuchte befestigt.
387,An der örtlichen Schule werden die Fünftklässler nach alter Tradition als Sextaner bezeichnet.
388,An dessen Effizienz kommt nicht einmal ein Ionentriebwerk heran.
389,An diesem Heizkörper muss das Thermostat gewechselt werden.
390,An dieser Stelle ist vor zwei Jahren eine Gondel abgestürzt.
391,An dieser Stelle möchte ich mal ein Lob für die gute Arbeit aussprechen.
392,"An einem Stand werden Waffeln verkauft, um die Vereinskasse aufzubessern."
393,An jener Hürde sind schon viele gescheitert.
394,An jener Stelle ist die Übersetzung des Textes unpräzise.
395,An meiner rechten Pedale ist ein Reflektor abgebrochen.
396,"An seinem Sicherungsgurt hatte der Kletterer mehrere Karabiner, um sich alle paar Meter einhaken zu können."
397,An solchen Orten lieferten sich die einstigen Giganten Überlebenskämpfe.
398,An welchem Ringfinger trägt man einen Verlobungsring?
399,An welchen Koordinaten liegt Chemnitz?
400,An welchen Koordinaten liegt Osnabrück?
401,"An welcher Autobahnabfahrt muss ich die Autobahn verlassen, wenn ich nach Baden-Baden möchte?"
402,"An welcher Autobahnabfahrt muss ich die Autobahn verlassen, wenn ich nach Hamm möchte?"
403,Andere Werke desselben Autors beschäftigen sich mit weiterführenden Themen.
404,"Andere zu rammen macht Spaß, schadet aber auch Ihrem eigenen Fahrzeug."
405,"Andernfalls bekommt man am eigenen Leib zu spüren, was der Begriff Schallmauer bedeutet."
406,"Andernfalls entstehen Fliehkräfte, die das Laufwerk zerstören können."
407,Andernfalls kann die Verpackung unter Umständen nicht recycelt werden.
408,Andorra la Vella ist die Hauptstadt von Andorra.
409,Andre werde ich bestimmt nicht einladen.
410,Andrea anrufen.
411,Andrea ist alleinerziehende Mutter von zwei Kindern.
412,Andreas anrufen.
413,Angela hatte sich dieses verrückte Trinkspiel ausgedacht.
414,Angelika verschweigt uns etwas.
415,Angesichts des Insektensterbens beginnt an der TU jetzt ein Forschungsprojekt zur künstlichen Bestäubung von Pflanzen.
416,Angewidert wich sie zurück.
417,Angst ist eines der größten Probleme unserer Gesellschaft.
