sentence
"""""""Ich muss mal wieder zum Frisör"""", bekundete Lars selbstkritisch nach einem Blick in den Spiegel."""
"""""""Ich muss morgen früh aufstehen"""", entschuldigte sich Alwin."""
"""""""Ich weiß gar nicht, wie man die Nebelschlussleuchte einschaltet"""", gab Hanna zu."""
"""""""Ich weiß, wo ein Schatz versteckt ist"""", flüsterte mir mein Mithäftling ins Ohr."""
"""""""Ich werde keines Ihrer Drecksbücher kaufen"""", stellte ich klar."""
"""""""Ich will kein Model, sondern ein normales Mädel als Freundin"""", sagt Tim."""
"""""""Ich wollte testen, ob du am Stoppschild auch wirklich anhältst"""", erklärte der Fahrlehrer."""
"""""""Ich, ich kann Ihnen helfen"""", bot er kleinlaut an."""
"""""""Ihr seid alle eingeladen"""", verkündete Ralf mit einem Lächeln."""
"""""""In meinen Augen ist Gustav vom Scheitel bis zur Sohle ein frommer Christ"""", urteilte Pastor Sigmund."""
"""""""In welchem Ressort würden Sie bevorzugt arbeiten?"""", fragte der Personalchef den Junior-Redakteur."""
"""""""Ist der Kaffee überhaupt noch warm?"""", erkundigt sich Daniel."""
"""""""Jetzt müssen wir mal unsere grauen Zellen anstrengen"""", sagte Anton und kratzte sich am Kopf."""
"""""""Jetzt nicht mehr"""", erwiderte er und griff zum Telefonhörer."""
"""""""Kann mich jemand hören?"""", sprach er in sein Funkgerät."""
"""""""Konstruktive Kritik sieht anders aus"""", kritisierte Walter wenig konstruktiv."""
"""""""Kreative Köpfe wie dich brauchen wir"""", ermutigte Anja ihn."""
"""""""Lass mal den Profi ran"""", kommandierte Lennart in einem ironischen Tonfall."""
"""""""Lassen Sie den Jungen in Ruhe"""", knurrte ich den Fremden an."""
"""""""Mann, geht mir das alles auf den Zeiger"""", brummte Fritz genervt."""
"""""""Mein Enkel ist ein tüchtiger Bursche"""", erzählte der Großvater stolz."""
"""""""Meine Lieblingsfarbe ist schwarz"""", sagte Lola."""
"""""""Mit eurer Gleichgültigkeit habt ihr uns das alles erst eingebrockt"""", schimpfte Timo."""
"""""""Mit solchen Maschinen kenne ich mich zufällig aus, ich habe nämlich auch schon einmal"""", fuhr er fort."""
"""""""Na also"""", nickte ich zufrieden."""
"""""""Na gut"""", gab sich mein Gesprächspartner geschlagen."""
"""""""Na gut, wir kämpfen mit den Fäusten"""", stimmte der Ritter zu und steckte das Schwert wieder in die Scheide."""
"""""""Nach zwei Wochen ist es vorbei"""", versprach Christoph."""
"""""""Nichts von dem, was du tust, hat Hand und Fuß"""", monierte Regina."""
"""""""Ob katholisch oder evangelisch ist mir nicht wichtig"""", erläuterte Valentina."""
"""""""Ob sie das schaffen werden?"""", stellt Waldemar das Vorhaben infrage."""
"""""""Papperlapapp!"""", widersprach Elke."""
"""""""Ralf ist ein alter Knacker"""", sprach Clemens wenig respektvoll."""
"""""""Runter von meinem Baum"""", krächzte der Rabe."""
"""""""Schauen Sie, was in diesem Karton ist"""", ergriff der Buchhändler nun wieder das Wort."""
"""""""Selbst schuld"""", dachte er und konnte seine Schadenfreude kaum verbergen."""
"""""""Seriöse Aussagen können wir zu diesem Zeitpunkt noch nicht treffen"""", konstatierte Tom."""
"""""""Sie werden doch nicht etwa"""", setzte ich zum Protest an, doch es war bereits zu spät."""
"""""""Stellst du die Musik bitte auf Zimmerlautstärke, Albert?"""", rief seine Mutter."""
"""""""Sylt ist mir einfach zu teuer"""", argumentierte Paula."""
"""""""Und damit sind wir auch schon am Ende der Sendung"""", leitete der Moderator zum nächsten Thema über."""
"""""""Und wer muss es am Ende wieder reparieren?"""", fragt Robert, obwohl er die Antwort natürlich schon weiß."""
"""""""Vielleicht kann Hannelore euch beraten"""", schlug Marius vor."""
"""""""Vier-K-Displays sind genauer als meine Augen"""", stellt Christian fest."""
"""""""Wartet auf uns!"""", brüllte Christoph aus voller Kehle."""
"""""""Was für ein Angeber"""", dachte Horst im Stillen."""
"""""""Was haben Sie denn damit vor?"""", wollte er wissen."""
"""""""Was soll ich in der Großstadt mit einem PKW?"""", stellte Gregor eine rhetorische Frage."""
"""""""Wenn meine Großeltern sich miteinander unterhalten, schnacken sie platt"""", berichtet Gerhard."""
"""""""Wenn sich Netflix nur mit proprietärer Software nutzen lässt, dann eben ohne mich"""", sagt Hannes trotzig."""
"""""""Wer ist da?"""", fragte sie mit zittriger Stimme."""
"""""""Wie bitte?"""", fragte der Bereitschaftspolizist und klappte sein Visier hoch."""
"""""""Wir beschreiben die Verformung gegenüber der kanonischen Repräsentation mit einem Tensorfeld"""", erklärte Ulla."""
"""""""Wir müssen intubieren"""", meinte der Notfallsanitäter zu seiner Kollegin."""
"""""""Wollen wir nicht ein Stück Sacher Torte essen, wenn wir schon einmal in Wien sind?"""", schlug Toni vor."""
"""Auf Kika läuft gerade """"Jim Knopf und Lukas der Lokomotivführer""""."""
"""Das Prinzip heißt """"teile und herrsche""""."""
"""Das war wahrscheinlich eine Freud'sche Fehlleistung."""
"""Der geht ab wie Schmitz' Katze."""
"""Die Arena ist heut' ausverkauft, man will sehen, wer sich rauft."""
"""Die Kräuterbutter ist selbst gemacht, stimmt's?"""
"""Die Propeller heulen immer so schön auf, wenn man einen Staubsauger an sie 'ran hält."""
"""Etwa hundert User hatten """"Erster"""" als Kommentar zu dem Video gepostet."""
"""Grüner wird's nicht."""
"""Heute gibt es """"Asterix und Kleopatra"""" im Fernsehen."""
"""Ich hab' keine Munition mehr!"""
"""Jetzt reicht's aber!"""
"""Los geht's!"""
"""Mach's besser."""
"""Mach's gut."""
"""Morgenstund' hat Gold im Mund."""
"""Probier's mal mit Gemütlichkeit!"""
"""Regeln wie """"Frauen und Kinder zuerst"""" sind auch nicht mehr zeitgemäß."""
"""Seine SMS an Katrin beendet Sören immer mit einem vielsagenden """"hdgdl""""."""
"""Stell dir vor es geht, aber keiner kriegt's hin."""
"""Stramm stand die Horde in Reih' und Glied aufgestellt vor dem Befehlshaber."""
"""Tatsächlich ist """"der Krake"""" korrekt, auch wenn das Substantiv umgangssprachlich feminin verwendet wird."""
"""Toll, ein anderer macht's!"""
"""Und dann haben wir, ich sag' mal, ein paar Nettigkeiten ausgetauscht."""
"""Und das war's auch schon."""
"""Und die Moral von der Geschicht': Verrate deine Pläne nicht."""
"""Und wir nehmen's ganz genau: Auch nicht seine Nebenfrau."""
"""Vielen Dank für Speis' und Trank."""
"""Weil der Begriff """"Rückzug"""" verboten war, wurde stets nur von Frontbegradigung gesprochen."""
"""Wie war's in Amsterdam?"""
"""Wie wär's mit einer Tasse Kräutertee?"""
"""Wo gibt's denn sowas?"""
A-zwei, zwischen Braunschweig-Watenbüttel und Braunschweig-Hafen behindern Bergungsarbeiten den Verkehr.
Aaron wollte den anderen nicht die gute Laune verderben.
Ab einem bestimmten Wert müssen eingeführte Waren verzollt werden.
Ab hier übernehmen wir die Kontrolle.
Ab ins Trainingslager!
Ab sechzig Jahren sollte ein regelmäßiger Fahreignungstest verpflichtend sein.
Ab und zu knackt das Holz.
Ab wann muss man zum Idiotentest?
Ab zwanzig Uhr dürfen die öffentlich-rechtlichen Sender keine Werbung mehr zeigen.
Aber Lothar hatte den Finger schon am Abzug.
Aber als Übergangslösung reicht es erst mal.
Aber auch Seile und Textilien werden aus Hanf gefertigt.
Aber auch hierfür hat der Tüftler eine geniale Idee.
Aber bitte nur mit Betäubung.
Aber das könnte natürlich auch Zufall sein.
Aber die ist natürlich auch nicht ohne Nebenwirkungen.
Aber die sind nun mal hässlich wie die Nacht.
Aber echte Camper sitzen auf dem Boden oder auf Baumstämmen.
Aber enttäuschen Sie mich nicht.
Aber er hat angefangen.
Aber es gibt auch noch einen vierten: Den Plasmazustand.
Aber gelegentlich ist es aufschlussreich, eine falsche These in den Raum zu stellen und zu schauen, wie viele sie glauben.
Aber genau darum geht es doch.
Aber hallo!
Aber ich hätte gerne eine Flasche ohne Kohlensäure.
Aber jetzt geht ihm ein Licht auf.
Aber jetzt kommt der finale Test.
Aber lassen Sie die Hütchen stehen!
Aber man könnte wohl noch erkennen, um welche Sprache es sich handelt.
Aber mit der Zeit legt sich das.
Aber möchtest du wirklich für immer und ewig jung bleiben?
Aber natürlich.
Aber nicht mogeln
Aber nicht mogeln!
Aber ohne meinen Raketenrucksack fühle ich mich wie ein Sterblicher.
Aber psst, das ist geheim.
Aber sie braucht ja auch gleichaltrige Spielkameraden.
Aber sonst habt ihr keine Vorurteile, oder?
Aber was bewirkt der Boykott wirklich?
Aber was heißt das im Klartext?
Aber wir wollen die Pferde ja auch nicht unnötig scheu machen.
Aber woher kommt der Wellenberg auf der mondabgewandten Seite?
Aber wozu eigentlich?
Aber zum Anziehen benötigt er Hilfe von einer Pflegekraft.
Abflussrohre sollte man verschließen, damit der Geruch der Kanalisation nicht in die Wohnung steigt.
Abgerundete Ecken sind keine Innovation.
Abidjan ist der Regierungssitz der Elfenbeinküste.
Abu Dhabi ist die Hauptstadt der Vereinigten Arabischen Emirate.
Abuja ist die Hauptstadt von Nigeria.
Abwarten und Tee trinken, meint Edith.
Accra ist die Hauptstadt von Ghana.
Ach Mist, der Reifen ist platt.
Ach daher weht der Wind.
Ach du Schreck!
Ach hier sind wir.
Ach was, Charakter wird überbewertet, widerspricht Ulf machohaft.
Ach, das ist ja sympathisch.
Ach, das macht doch nichts.
Ach, das sind alles Ausreden!, widersprach Veronika energisch.
Ach, das sind alles Ausreden, widersprach Veronika energisch.
Ach, den kann ich ruhig opfern.
Ach, ist das öde.
Achim achtet neuerdings auf seine Ernährung.
Achte auf die Körpersprache.
Achten Sie auf den Höhenunterschied zwischen Zug und Bahnsteigkante.
Achten Sie beim Kauf unbedingt darauf, dass die Jacke atmungsaktiv ist!
Achtung Boss, die Bullen sind im Anmarsch.
Achtung, Abzocke!
Achtung, der Poller hebt und senkt sich automatisch.
Adam nimmt ein Heft aus seinem Schulranzen und macht ein paar Notizen.
Addis Abeba ist die Hauptstadt von Äthiopien.
Aden ist de facto die Hauptstadt von Jemen.
Ah!, stöhnte er und schlug auf das lärmende Gerät neben seinem Bett.
Aha, so ist das also.
Ahoi, ihr Landratten
Ahoi, ihr Landratten!
Ahornblätter sind leicht zu erkennen.
Akku-Ladestand anzeigen.
Akupunktur funktioniert nicht, wenn man nicht dran glaubt.
Alarmanlage ausschalten.
Alarmanlage einschalten.
Alaska ist die größte Exklave der Erde.
Albatrosse sind gut im Fliegen, aber schlecht im Starten und Landen.
Albert ist ein genialer Erfinder.
Aleppo ist die zweitgrößte Stadt in Syrien.
Alex hat sich eine fiese Erkältung eingefangen.
Alexander ist ein armer Schlucker.
Alexandra hört das Lied seit zwei Stunden in Dauerschleife.
Alfred und Erna haben sich köstlich amüsiert.
Algier ist die Hauptstadt von Algerien.
Alida probiert zum allerersten Mal Fedora aus.
Alina ist immer so perfektionistisch.
Alkohol hemmt die Fettverbrennung.
Alkohol ist keine Lösung sondern ein Destillat.
All die Demokratiebestrebungen sind nur vorgeschobene Gründe.
All die Elterntaxis verstopfen mal wieder die Schulstraße.
All die angestaute Wut kanalisiert sich jetzt und führt zu diesen Ausbrüchen.
All die gesetzlichen Regelungen nützen nichts, wenn sie nicht kontrolliert werden.
Alle Einheiten werden im Hauptquartier zentral koordiniert.
Alle Händler weigern sich, meinen Gebrauchten in Zahlung zu nehmen.
Alle Häuser wurden in Schutt und Asche gelegt.
Alle Kanonen sind feuerbereit.
Alle Lose, die wir gekauft hatten, waren Nieten.
Alle Matrosen sind an Deck, Herr Kapitän.
Alle Verbrenner dieser Modellreihe sind zwangsbeatmet.
Alle anderen verlassen sich darauf.
Alle der Reihe nach.
Alle dreizehn Kerzen auf der Geburtstagstorte muss sie mit einem Atemzug ausblasen.
Alle haben nur zugeschaut.
Alle ihm nach!
Alle im Roman vorkommenden Charaktere sind einfach gestrickt.
Alle natürlich.
Alle nehmen die Rolltreppe, obwohl die normale Treppe daneben frei ist.
Alle reden davon, dass sie die Mitte entlasten wollen, aber jeder meint etwas anderes.
Alle rufen laut: Chapeau, es ist ein technischer K.o.
Alle rufen laut: Chapeau, es ist ein technischer K.o.!
Alle standen auf und legten im Chor den vereinbarten Schwur ab.
Alle wertvollen Sachen habe ich im Schließfach.
Alleinsein ist ein objektiver Zustand, Einsamkeit ein subjektives Empfinden.
Alleinstehende müssen gleichzeitig arbeiten und den Haushalt schmeißen.
Allen Besuchern vor halb elf wird ein Preisnachlass gewährt.
Allerdings gibt es die Karl-May-Festspiele in der Kalkbergarena.
Allerdings interessiert sie mich nicht.
Allerdings, erklärte er mit bedeutungsvoller Miene.
Allerdings.
Allergiker freuen sich über den eingebauten Pollenfilter.
Alles anzeigen.
Alles entfernen.
Alles hat ein Ende, nur die Wurst hat zwei.
Alles ist erlaubt.
Alles ist inklusive.
Alles löschen.
Alles merken.
Alles speichern.
Alles, was Sie zu wissen glauben, ist bedeutungslos.
Alles, was er diktierte, musste die Sekretärin später in den Computer eingeben.
Alles, was es nicht schon seit Jahrhunderten gibt, wird höchstens als Sekte anerkannt.
Allianz ist ein gutes Stichwort.
Als Abteilungsleiter sollte man immer ein offenes Ohr für seine Mitarbeiter haben.
Als Bert nicht mehr weiter wusste, wandte er sich an den Verbraucherschutz.
Als Erstes bestimmen wir Blutgruppe und Rhesusfaktor.
Als Folge verengen sich die Blutgefäße.
Als Glücksbringer hatte Ken sich ein Hufeisen in seinem Wagen vor den Beifahrersitz geklebt.
Als Heike das erste Mal in die Sauna ging, war sie völlig schockiert, dass dort alle nackig waren.
Als Jürgen noch in Heilbronn arbeitete, nutzte er täglich den Radweg am Neckar.
Als Kassenpatient muss man längere Wartezeiten erdulden.
Als Kind hatte ich alle Folgen vom Sams auf Kassette.
Als Kind wollte ich immer erwachsen sein.
Als Populist muss man eine einfache Sprache sprechen, die jeder versteht.
Als Rainer den Posten übernahm, musste er erst einmal für Zucht und Ordnung sorgen.
Als Standardbeispiel für einen Torus wird immer der Donut aufgeführt.
Als Therapie gegen das Stottern hat die Ärztin Manuel empfohlen zu singen.
Als Werkstoff ist Gold relativ wertlos.
Als Zwischenstopp auf der Route einfügen.
Als Zwischenstopp einfügen.
Als besondere Attraktion hat der Bauer einen Teil seines Maisfeldes als Labyrinth angelegt.
Als der Briefträger das Kläffen hörte, zuckte er erschrocken zusammen.
Als der Funkspruch einging, brach im Kontrollzentrum Hektik aus.
Als der Kanzler vor die Truppe trat, salutierten die Soldaten.
Als die Betrüger den Enkeltrick bei meiner Oma versucht haben, hat sie genau richtig gehandelt.
Als die Stadtmauern errichtet wurden, hieß es, dass sie unbezwingbar seien.
Als er auf die Uhr sah, stellte Jan fest, dass er eine halbe Stunde mit dem Lesen der Kommentare verplempert hatte.
Als er elf war, ist Leon in einen rostigen Nagel getreten, der sich dabei durch den Fuß gebohrt hat.
Als es im späten September noch einmal richtig warm wurde, schmolzen die Weihnachtsmänner aus Schokolade in den Regalen.
Als es mir schlecht ging, war Stefan immer für mich da.
Als gemeinnützige Stiftung geht es ihnen nicht um Profit.
Als nächstes Mehl und Milch hinzugeben und gut umrühren.
Als stellvertretende Sprecherin des Konzerns ist Susanne eine beliebte Gesprächspartnerin der Presse.
Also Herr Schneider, ich setze Ihnen jetzt eine Frist.
Also besonders langlebig sind diese Gewinde aber nicht.
Also das ist ja wirklich der Gipfel
Also das ist ja wirklich der Gipfel!
Also erwarte keine Wunder.
Also hat sich die heute Einundvierzig-Jährige umschulen lassen.
Also ich höre nichts.
Also machten sich die Ermittler auf zum Leichenschauhaus.
Also mit Reiter, Martinsgans, Laternen und den entsprechenden Liedern.
Also sollte man beides kombinieren und die Voodoo-Puppe einer Akupunktur unterziehen.
Also, wie sieht der Masterplan aus?
Alte Dieselmotoren musste man mit einem Gasbrenner oder Ähnlichem vorglühen, wenn sie nicht ansprangen.
Alte Liebe rostet nicht.
Alter, lass mich in Ruhe!
Alternativ könnten wir auch den N-Quadrat-dimensionalen Fall betrachten, aber so viel Abstraktionsvermögen traue ich Ihnen nicht zu.
Aludeckel von Plastikverpackungen sollte man abziehen, bevor man sie in den gelben Sack schmeißt.
Alwin, Nadja und Andrea spielen Verstecken.
Am Ausgang ertönte plötzlich die Alarmanlage und Arno blieb verdutzt stehen.
Am Autobahnzubringer müsst ihr ihn abpassen.
Am Dienstag werden wir dann das Thema ägyptische Geschichte beginnen.
Am Ecktisch fehlt eine Gabel.
Am Ende der Radtour beklagten sich alle über Muskelkater in den Oberschenkeln.
Am Ende des Gleises befindet sich ein Prellbock.
Am Ende ihrer Arbeit hatten die Maurer noch ein paar Ziegelsteine über.
Am Ende kommt es doch anders.
Am Ende muss die Stadt für die exorbitanten Kosten aufkommen.
Am Ende scheitert es am Geld.
Am Ende werdet ihr Muskeln spüren, von denen ihr vorher gar nicht wusstet, dass ihr sie habt.
Am Ende wird Mario für seine Tapferkeit ausgezeichnet.
Am Ende wird es wieder in eine Fressorgie ausarten.
Am Flughafen muss man nach dem Check-In durch die Sicherheitskontrolle.
Am Freitag will die Geschäftsführung Bilanz ziehen.
Am Freitag wird im Stadtwald Räuber Hotzenplotz aufgeführt.
Am Horizont steigt Rauch auf.
Am Mittwochabend lädt der Fachschaftsrat zu einer Runde Skat.
Am Montag beginnt die neue Staffel.
Am Nachmittag nimmt Alfred immer das übrig gebliebene Essen aus der Kantine und fährt es zur Tafel.
Am Taxistand herrschte das übliche Chaos.
Am Telegrafenmast kann man sich gut orientieren.
Am Ufer haben die zwei eine Flaschenpost gefunden.
Am Wochenende hat es wieder Randale gegeben.
Am besten nehmen wir den Zug.
Am deutlichsten merkt man den Dopplereffekt, wenn ein Einsatzwagen mit Sirene an einem vorbeifährt.
Am einfachsten löst man das Problem, indem man es in mehrere kleine Teilprobleme spaltet.
Am einundzwanzigsten November erscheint die Biografie über den einstigen Rockstar.
Am elften November wird es einen traditionellen Sankt-Martins-Umzug im Dorf geben, mit allem was dazu gehört.
Am ersten Tag werde ich Sie immer wieder darauf hinweisen.
Am fünfzehnten Mai findet ein Seifenkistenrennen statt.
Am gleichen Tag ist auch Halloween.
Am liebsten würde Larissa gleich alle auswählen.
Am liebsten würde sie im Boden versinken.
Am meisten freut Camilla sich auf die Bescherung.
Am meisten fürchtet sich Isabel vor Änderungen.
Am sechsten Dezember kommt der Nikolaus.
Am sechsten Januar werden die Tannenbäume eingesammelt.
Amanda ist verwitwet.
Amman ist die Hauptstadt von Jordanien.
Amsterdam ist die Hauptstadt der Niederlande.
An Dramaturgie ist das Theaterstück kaum zu überbieten.
An Fasching hat sich Kevin als Schneemann verkleidet.
An Pfingsten besuchen wir Onkel Heinz.
An Sonn- und Feiertagen haben die Läden geschlossen.
An den meisten Stellen war der Fluss zu tief.
An der Küste weht immer eine steife Brise.
An der Litfaßsäule hängt noch immer die selbe Reklame wie vor einem Jahr.
An der Litfaßsäule hängt noch immer dieselbe Reklame wie vor einem Jahr.
An der Oase machten sie Halt und ließen die Kamele ihre Höcker füllen.
An der Pastatheke wird Nachschub benötigt.
An der Primärspule liegen permanent zwölf Volt an.
An der Rennbahn gibt es eine eigene Haltestelle.
An der Straße wartest du bitte auf uns.
An der Tanke müssen wir noch eine Tagesvignette kaufen.
An der Wand hängen Porträts aller ehemaligen Bonzen des Hauses.
An der dritten Hand ist eine Lupe mit einer kleinen Leuchte befestigt.
An der örtlichen Schule werden die Fünftklässler nach alter Tradition als Sextaner bezeichnet.
An dessen Effizienz kommt nicht einmal ein Ionentriebwerk heran.
An diesem Heizkörper muss das Thermostat gewechselt werden.
An dieser Stelle ist vor zwei Jahren eine Gondel abgestürzt.
An dieser Stelle möchte ich mal ein Lob für die gute Arbeit aussprechen.
An einem Stand werden Waffeln verkauft, um die Vereinskasse aufzubessern.
An jener Hürde sind schon viele gescheitert.
An jener Stelle ist die Übersetzung des Textes unpräzise.
An meiner rechten Pedale ist ein Reflektor abgebrochen.
An seinem Sicherungsgurt hatte der Kletterer mehrere Karabiner, um sich alle paar Meter einhaken zu können.
An solchen Orten lieferten sich die einstigen Giganten Überlebenskämpfe.
An welchem Ringfinger trägt man einen Verlobungsring?
An welchen Koordinaten liegt Chemnitz?
An welchen Koordinaten liegt Osnabrück?
An welcher Autobahnabfahrt muss ich die Autobahn verlassen, wenn ich nach Baden-Baden möchte?
An welcher Autobahnabfahrt muss ich die Autobahn verlassen, wenn ich nach Hamm möchte?
Andere Werke desselben Autors beschäftigen sich mit weiterführenden Themen.
Andere zu rammen macht Spaß, schadet aber auch Ihrem eigenen Fahrzeug.
Andernfalls bekommt man am eigenen Leib zu spüren, was der Begriff Schallmauer bedeutet.
Andernfalls entstehen Fliehkräfte, die das Laufwerk zerstören können.
Andernfalls kann die Verpackung unter Umständen nicht recycelt werden.
Andorra la Vella ist die Hauptstadt von Andorra.
Andre werde ich bestimmt nicht einladen.
Andrea anrufen.
Andrea ist alleinerziehende Mutter von zwei Kindern.
Andreas anrufen.
Angela hatte sich dieses verrückte Trinkspiel ausgedacht.
Angelika verschweigt uns etwas.
Angesichts des Insektensterbens beginnt an der TU jetzt ein Forschungsprojekt zur künstlichen Bestäubung von Pflanzen.
Angewidert wich sie zurück.
Angst ist eines der größten Probleme unserer Gesellschaft.
Anita hat den Aushang am schwarzen Brett gesehen und sofort reagiert.
Anja kann sich an nichts mehr erinnern.
Ankara ist die Hauptstadt der Türkei.
Anna hat sich vorgenommen wenigstens einmal pro Woche zum Sport zu gehen.
Anna, weißt du wo Charlotte ist?
Annabel knurrt der Magen.
Anne hat keine Manieren.
Anne ist stolz darauf, dass sie zum ersten Mal einen Handstandüberschlag rückwärts geschafft hat.
Annika übt gemeinsam mit Monika Gitarre.
Anscheinend hat Ingeborg ihr Trauma immer noch nicht verarbeitet.
Anscheinend sind wir hier nicht willkommen.
Ansonsten hat das nichts mit Umweltschutz zu tun.
Ansonsten ist es wirklich eine prachtvolle Orgel.
Anstatt Knöpfe zu drücken, interagiert man mit Handgesten.
Antananarivo ist die Hauptstadt von Madagaskar.
Antarktika ist der südlichste Kontinent der Erde.
Antonia, kommst du auch zur Kryptoparty?
Antriebe von U-Booten müssen möglichst leise sein.
Apia ist die Hauptstadt von Samoa.
App aktivieren.
App deaktivieren.
App entfernen.
App installieren.
App löschen.
App meinen Freunden weiterempfehlen.
App merken.
App weiterempfehlen.
April, April
April, April!
Apropos Kosmos.
Aquaponik verbindet Fischzucht und Pflanzenzucht unter einem Dach.
Arbeit und Energie sind aber das Gleiche.
Arbeiten an elektrischen Anlagen sollte stets ein Elektriker durchführen.
Argwöhnisch musterte sie den Ausbrecher aus dem Verlies.
Ariane hat sich in einer Konditorei beworben.
Armin scheitert daran, den Garn durch das Nadelöhr zu fummeln.
Arne hat sich im Ton vergriffen.
Arne steht auf Science-Fiction.
Arno nahm die Artikel aus dem Einkaufswagen und verstaute sie in seinem Rucksack.
Arnold ist in Dortmund aufgewachsen und lebt jetzt in Düsseldorf.
Arnold wischt sich eine Schweißperle von der Stirn.
Asche auf mein Haupt
Asche auf mein Haupt!
